,Re_l [-],Re_lo [-],Re_g [-],Re_go [-],x [-],xv [-],f_l [-],f_lo [-],f_g [-],f_go [-],1/Re_l [-],1/Re_lo [-],1/Re_g [-],1/Re_go [-],G*_l/G*_g [-],(1-x)/x [-],(1-xv)/xv [-],X [-],Y [-]
Test bi smooth 69 @ Q_l_90 Q_g_3000,4225.080538593945,4562.268284284556,15498.07734856855,209694.4140420817,0.07390791700087143,0.9785494949162661,0.009820137794337882,0.009602449681292828,0.006897004338288713,0.003873484276346422,0.0002366818788104777,0.0002191892141557426,6.452413273652705e-05,4.768844246844452e-06,12.53035020575954,12.53035020575954,0.02192071550307164,0.6253706696663355,15.1849763684544
Test bi smooth 64 @ Q_l_90 Q_g_500,4225.007585791576,4281.199117975427,2583.37801321038,196826.0206069278,0.01312518540609793,0.9066514017759848,0.009820187532735399,0.009782233250792277,0.01139592206798183,0.003921803691707912,0.0002366859655738689,0.0002335794183926906,0.0003870900793017487,5.080629059696604e-06,75.18939992538331,75.18939992538331,0.1029597462058298,2.582838173418139,17.11072833798828
Test bi smooth 8 @ Q_l_20 Q_g_500,938.8867598504297,995.0767756637069,2583.463359444843,45750.91059423151,0.05646802054625288,0.979061295688218,0.01704145876180946,0.01607916131830948,0.01139580459883145,0.005329053036648316,0.001065091172613091,0.001004947582394343,0.0003870772915528744,2.185748845239563e-05,16.70913855889284,16.70913855889284,0.02138651012351932,0.7310176755520341,16.09164320092261
Test bi smooth 28 @ Q_l_40 Q_g_2500,1877.788354586646,2158.753168104657,12916.48606273468,99241.98286459334,0.1301514307745952,0.990377325372378,0.01261484584931045,0.00741168570654499,0.007224739646958648,0.004505142664642726,0.000532541379094945,0.0004632303566590618,7.742043734983753e-05,1.007638069227626e-05,6.683357716841899,6.683357716841898,0.00971617017181196,0.3367245513370262,20.44775222205446
Test bi smooth 48 @ Q_l_70 Q_g_500,3286.113420433528,3342.304544977462,2583.400987170626,153663.286346378,0.01681208991812976,0.9270641165882263,0.01058373822307408,0.0105296268102763,0.01139589044645184,0.004119324399707689,0.0003043108596866607,0.0002991947581505452,0.0003870866369433468,6.507735346397993e-06,58.48100473348195,58.48100473348194,0.07867404433707535,2.067133678870984,17.0528975192559
Test bi smooth 88 @ Q_l_20 Q_g_1000,938.8865322908292,1064.317459866887,5751.75779450788,48805.31750758336,0.1178510475546885,0.990581153749698,0.01704146289217816,0.01503310863847061,0.008985664154591686,0.005252296024668644,0.001065091430761135,0.0009395692899044133,0.0001738598939188398,2.048957062608229e-05,7.485287324543738,7.485287324543738,0.00950840444990129,0.3673976773512266,16.58443246546669
Test bi smooth 75 @ Q_l_100 Q_g_2000,4694.503397399426,4919.285560390707,10332.60356493832,226125.715856796,0.04569406679725845,0.9675433988598137,0.009523190382175861,0.00939544116479525,0.007657452248158892,0.00381704701391675,0.0002130150764304402,0.0002032815512992046,9.67810284905641e-05,4.42231878055521e-06,20.88467934878578,20.88467934878578,0.0335453698288204,0.9334246866572304,15.90386862948456
Test bi smooth 29 @ Q_l_40 Q_g_3000,1877.793760266132,2214.957969916089,15499.41879652992,101821.4870080162,0.1522214932424792,0.9916212415279161,0.01261483403875258,0.007223613367528658,0.006896853771363338,0.004481080475838779,0.0005325398460469238,0.0004514758354705411,6.451854828413852e-05,9.82110976164856e-06,5.569374525889477,5.569374525889476,0.008449555254760075,0.2933833064436849,20.22089677187066
Test bi smooth 73 @ Q_l_100 Q_g_1000,4694.471431127953,4806.857442996356,5166.589532795736,220979.9861899752,0.02338035050990567,0.942655719842809,0.009523209160217823,0.009458283630536999,0.009264069203762304,0.003834140387033567,0.0002130165269234,0.0002080361258595282,0.0001935512766501661,4.525296689720606e-06,41.77095844120578,41.77095844120578,0.06083268679126384,1.616205146957284,16.68386087373903
Test bi smooth 105 @ Q_l_40 Q_g_1500,1877.780046610628,2065.930964340495,8627.372629346477,94730.10533735628,0.09107318733176077,0.9866881700390859,0.01261486400102547,0.00774469247819598,0.008034720990540978,0.004549254484609406,0.0005325437352500304,0.0004840432798872488,0.0001159101435584741,1.055630621795219e-05,9.980180108962335,9.980180108962333,0.01349142552341207,0.4597841499765788,20.8453070386722
